,input_text
606,"Title: The Croods: A New Age | Release Date: 2020-11-25 | Overview: Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together. | Directors: Joel Crawford | Cast: Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener, Cloris Leachman | Genres: Animation, Family, Adventure, Fantasy, Comedy | Production Companies: Universal Pictures, DreamWorks Animation | Production Countries: US"
607,"Title: The Witness | Release Date: 2018-08-15 | Overview: An ordinary man witnesses a cruel murder and becomes entangled in circumstances out of his control. | Directors: Cho Kyu-jang | Cast: Lee Sung-min, Kim Sang-ho, Jin Kyung, Kwak Si-yang, Bae Jung-hwa | Genres: Thriller, Crime | Production Companies: AD406, Next Entertainment World | Production Countries: KR"
608,"Title: Ride Your Wave | Release Date: 2019-06-21 | Overview: Hinako is a surf-loving college student who has just moved to a small seaside town. When a sudden fire breaks out at her apartment building, she is rescued by Minato, a handsome firefighter, and the two soon fall in love. | Directors: Masaaki Yuasa | Cast: Ryota Katayose, Rina Kawaei, Honoka Matsumoto, Kentaro Ito, Mami Horikoshi | Genres: Animation, Romance, Comedy, Drama, Fantasy | Production Companies: Science SARU, Fuji Television Network, TOHO, jeki, Shogakukan, KDDI, Lawson Entertainment | Production Countries: JP"
609,"Title: The Witch: Part 1. The Subversion | Release Date: 2018-06-27 | Overview: Ja-yoon is a high school student who struggles with memory loss after she endured some unknown trauma during her childhood. While trying to uncover the truth, she is unwittingly dragged into a world of crime and finds herself on a journey that will awaken many secrets hidden deep within. | Directors: Park Hoon-jung | Cast: Kim Da-mi, Cho Min-soo, Park Hee-soon, Choi Woo-shik, Go Min-si | Genres: Action, Mystery, Science Fiction | Production Companies: Peppermint & Company, Warner Bros. Korea, Goldmoon Film, Finecut, Huayi Tencent Entertainment, Union Investment Partners | Production Countries: HK, KR"
610,"Title: Midsommar | Release Date: 2019-07-03 | Overview: Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities. | Directors: Ari Aster | Cast: Florence Pugh, Jack Reynor, William Jackson Harper, Will Poulter, Vilhelm Blomgren | Genres: Horror, Drama, Mystery | Production Companies: B-Reel Films, Square Peg | Production Countries: SE, US"
611,"Title: 1917 | Release Date: 2019-12-25 | Overview: At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers. | Directors: Sam Mendes | Cast: George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott, Richard Madden | Genres: War, History, Thriller, Drama | Production Companies: DreamWorks Pictures, Reliance Entertainment, New Republic Pictures, Neal Street Productions, Mogambo Films, Amblin Partners | Production Countries: IN, ES, GB, US"
612,"Title: The Tax Collector | Release Date: 2020-08-07 | Overview: David Cuevas is a family man who works as a gangland tax collector for high ranking Los Angeles gang members. He makes collections across the city with his partner Creeper making sure people pay up or will see retaliation. An old threat returns to Los Angeles that puts everything David loves in harm’s way. | Directors: David Ayer | Cast: Bobby Soto, Cinthya Carmona, George Lopez, Elpidia Carrillo, Shia LaBeouf | Genres: Action, Crime, Drama | Production Companies: Cross Creek Pictures, Cedar Park Entertainment, Faster Horse Pictures, Kodiak Pictures | Production Countries: US"
613,"Title: The Outpost | Release Date: 2020-06-24 | Overview: A small unit of U.S. soldiers, alone at the remote Combat Outpost Keating, located deep in the valley of three mountains in Afghanistan, battles to defend against an overwhelming force of Taliban fighters in a coordinated attack. The Battle of Kamdesh, as it was known, was the bloodiest American engagement of the Afghan War in 2009 and Bravo Troop 3-61 CAV became one of the most decorated units of the 19-year conflict. | Directors: Rod Lurie | Cast: Scott Eastwood, Caleb Landry Jones, Orlando Bloom, Ernest Cavazos, Taylor John Smith | Genres: War, Drama, History, Action | Production Companies: Millennium Media, York Films, Perfection Hunter Productions | Production Countries: US"
614,"Title: KONOSUBA – God's blessing on this wonderful world! Legend of Crimson | Release Date: 2019-08-30 | Overview: It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke. | Directors: Takaomi Kanasaki | Cast: Jun Fukushima, Rie Takahashi, Sora Amamiya, Ai Kayano, Yui Horie | Genres: Animation, Adventure, Comedy, Fantasy | Production Companies: J.C.STAFF, KADOKAWA, Sammy, Nippon Columbia, Sony Music Entertainment, MAGES., KADOKAWA Media House, 81 Produce, Toranoana | Production Countries: JP"
615,"Title: The Boogeyman | Release Date: 2023-05-31 | Overview: Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it’s too late. | Directors: Rob Savage | Cast: Sophie Thatcher, Vivien Lyra Blair, Chris Messina, David Dastmalchian, Marin Ireland | Genres: Horror | Production Companies: 21 Laps Entertainment, 20th Century Studios | Production Countries: US"
616,"Title: On Your Wedding Day | Release Date: 2018-08-22 | Overview: Through the course of their lives, a man and his first love  are repeatedly separated from each other because of circumstances out of their control. | Directors: Lee Seok-geun | Cast: Park Bo-young, Kim Young-kwang, Kang Ki-young, Ko Kyu-phil, Jang Seong-beom | Genres: Romance, Drama | Production Companies: Filmmaker R&K, filmK, Plus M Entertainment | Production Countries: KR"
617,"Title: Firestarter | Release Date: 2022-05-12 | Overview: For more than a decade, parents Andy and Vicky have been on the run, desperate to hide their daughter Charlie from a shadowy federal agency that wants to harness her unprecedented gift for creating fire into a weapon of mass destruction. Andy has taught Charlie how to defuse her power, which is triggered by anger or pain. But as Charlie turns 11, the fire becomes harder and harder to control. After an incident reveals the family's location, a mysterious operative is deployed to hunt down the family and seize Charlie once and for all. Charlie has other plans. | Directors: Keith Thomas | Cast: Ryan Kiera Armstrong, Zac Efron, Sydney Lemmon, Kurtwood Smith, Michael Greyeyes | Genres: Horror, Science Fiction | Production Companies: Blumhouse Productions, Weed Road Pictures, Universal Pictures | Production Countries: US"
618,"Title: Violet Evergarden: The Movie | Release Date: 2020-09-18 | Overview: As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again. | Directors: Taichi Ishidate | Cast: Yui Ishikawa, Daisuke Namikawa, Takehito Koyasu, Hidenobu Kiuchi, Haruka Tomatsu | Genres: Animation, Fantasy, Romance, Drama | Production Companies: Kyoto Animation, ABC Animation, Pony Canyon, Bandai Namco Arts, Rakuonsha | Production Countries: JP"
619,"Title: Deadpool & Wolverine | Release Date: 2024-07-24 | Overview: A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine. | Directors: Shawn Levy | Cast: Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew Macfadyen, Dafne Keen | Genres: Action, Comedy, Science Fiction | Production Companies: Marvel Studios, Maximum Effort, 21 Laps Entertainment, 20th Century Studios, Kevin Feige Productions, TSG Entertainment | Production Countries: US"
620,"Title: Child's Play | Release Date: 2019-06-19 | Overview: Karen, a single mother, gifts her son Andy a Buddi doll for his birthday, unaware of its more sinister nature. A contemporary re-imagining of the 1988 horror classic. | Directors: Lars Klevberg | Cast: Mark Hamill, Gabriel Bateman, Aubrey Plaza, Brian Tyree Henry, Tim Matheson | Genres: Horror, Thriller | Production Companies: KatzSmith Productions, Orion Pictures, Bron Studios, Creative Wealth Media Finance, Metro-Goldwyn-Mayer, Oddfellows Entertainment | Production Countries: CA, US"
621,"Title: 21 Bridges | Release Date: 2019-10-24 | Overview: An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him. | Directors: Brian Kirk | Cast: Chadwick Boseman, Sienna Miller, J.K. Simmons, Stephan James, Taylor Kitsch | Genres: Crime, Action, Drama | Production Companies: AGBO, MWM Studios, Huayi Brothers Pictures | Production Countries: US, CN"
622,"Title: The Great Battle | Release Date: 2018-09-19 | Overview: Kingdom of Goguryeo, ancient Korea, 645. The ruthless Emperor Taizong of Tang invades the country and leads his armies towards the capital, achieving one victory after another, but on his way is the stronghold of Ansi, protected by General Yang Man-chu, who will do everything possible to stop the invasion, even if his troops are outnumbered by thousands of enemies. | Directors: Kim Kwang-sik | Cast: Zo In-sung, Nam Joo-hyuk, Park Sung-woong, Bae Sung-woo, Um Tae-goo | Genres: War, History, Action | Production Companies: Soojak Film, Next Entertainment World, Studio & New | Production Countries: KR"
623,"Title: Blackbird | Release Date: 2019-09-06 | Overview: A terminally ill mother invites her family to their country house for one final gathering, but tensions quickly boil over between her two daughters. | Directors: Roger Michell | Cast: Susan Sarandon, Kate Winslet, Mia Wasikowska, Sam Neill, Lindsay Duncan | Genres: Drama | Production Companies: Millennium Media, Busted Shark Productions, Eclectic Pictures, SF Studios | Production Countries: US, SE"
624,"Title: Hypnotic | Release Date: 2023-05-11 | Overview: A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes. | Directors: Robert Rodriguez | Cast: Ben Affleck, Alice Braga, William Fichtner, J. D. Pardo, Hala Finley | Genres: Mystery, Science Fiction, Thriller | Production Companies: Studio 8, Solstice Studios, Ingenious Media, Double R Productions | Production Countries: GB, US"
625,"Title: M3GAN | Release Date: 2022-12-28 | Overview: A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results. | Directors: Gerard Johnstone | Cast: Jenna Davis, Allison Williams, Violet McGraw, Ronny Chieng, Amie Donald | Genres: Science Fiction, Horror | Production Companies: Atomic Monster, Blumhouse Productions, Divide / Conquer | Production Countries: US"
626,"Title: Cats | Release Date: 2019-12-19 | Overview: A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life. | Directors: Tom Hooper | Cast: Francesca Hayward, Judi Dench, Idris Elba, Jason Derulo, Jennifer Hudson | Genres: Fantasy, Comedy, Drama | Production Companies: Universal Pictures, Perfect World Pictures, Working Title Films, Amblin Entertainment, Monumental Pictures, The Really Useful Group | Production Countries: CN, GB, US"
627,"Title: tick, tick... BOOM! | Release Date: 2021-11-11 | Overview: On the brink of turning 30, a promising theater composer navigates love, friendship and the pressure to create something great before time runs out. | Directors: Lin-Manuel Miranda | Cast: Andrew Garfield, Alexandra Shipp, Robin de Jesús, Michaela Jaé Rodriguez, Ben Levi Ross | Genres: Drama, Music | Production Companies: Imagine Entertainment, 5000 Broadway Productions | Production Countries: US"
628,"Title: Hope Gap | Release Date: 2019-10-03 | Overview: Grace lives an idyllic life in a British seaside town, but her world soon comes crashing down when her husband of 29 years tells her he's leaving her for another woman. Through stages of shock, disbelief and anger -- and with support from her son -- Grace ultimately regains her footing while learning it's never too late to be happy. | Directors: William Nicholson | Cast: Annette Bening, Bill Nighy, Josh O'Connor, Aiysha Hart, Ryan McKen | Genres: Drama | Production Companies: Lipsync Productions, Screen Media Films, Roadside Attractions, Screen Yorkshire, Sampsonic Media, Creative Media Investments, Origin Pictures, Immersiverse | Production Countries: GB"
629,"Title: Rampant | Release Date: 2018-10-25 | Overview: Ancient Korea, 17th century. While the paranoid King Lee Jo of Joseon, vassal of the Qing dynasty, feels surrounded by conspirators and rebels, a dark evil emerges from the bowels of a merchant ship and the exiled Prince Lee Cheung returns to the royal court, ignoring that he will have to lead the few capable of defeating the ambitious humans and the bloody monsters who threaten to destroy the kingdom. | Directors: Kim Sung-hoon | Cast: Hyun Bin, Jang Dong-gun, Jo Woo-jin, Jeong Man-sik, Lee Sun-bin | Genres: Action, Horror, Drama, Fantasy | Production Companies: Leeyang Film, Rear Window, Next Entertainment World, VAST Entertainment | Production Countries: KR"
630,"Title: Can You Keep a Secret? | Release Date: 2019-09-13 | Overview: Emma Corrigan, a girl with a few secrets, thinks she’s about to die on a turbulent plane ride. She spills them all to the handsome stranger sitting next to her. At least, she thought he was a stranger. But then, her company’s young and elusive CEO, arrives at the office. It’s him. And he knows every single humiliating detail about her. | Directors: Elise Durán | Cast: Alexandra Daddario, Tyler Hoechlin, Sunita Mani, David Ebert, Kate Easton | Genres: Romance, Comedy | Production Companies: BCDF Pictures, Big Indie Pictures, Embankment Films, 120dB Films | Production Countries: US"
631,"Title: After | Release Date: 2019-04-11 | Overview: Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life. | Directors: Jenny Gage | Cast: Josephine Langford, Hero Fiennes Tiffin, Shane Paul McGhie, Khadijha Red Thunder, Dylan Arnold | Genres: Romance, Drama | Production Companies: CalMaple Films, Wattpad, Offspring Entertainment, Diamond Film Productions, Voltage Pictures, Frayed Pages Entertainment | Production Countries: US"
632,"Title: DC League of Super-Pets | Release Date: 2022-07-27 | Overview: When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes. | Directors: Jared Stern | Cast: Dwayne Johnson, Kevin Hart, John Krasinski, Keanu Reeves, Kate McKinnon | Genres: Animation, Action, Family, Comedy, Science Fiction | Production Companies: Warner Animation Group, DC Entertainment, Seven Bucks Productions, Animal Logic | Production Countries: CA, US"
633,"Title: Ava | Release Date: 2020-07-02 | Overview: A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong. | Directors: Tate Taylor | Cast: Jessica Chastain, John Malkovich, Common, Colin Farrell, Geena Davis | Genres: Action, Thriller, Crime | Production Companies: Freckle Films, Voltage Pictures, Vertical | Production Countries: US"
634,"Title: Hustlers | Release Date: 2019-09-12 | Overview: A crew of savvy former strip club employees band together to turn the tables on their Wall Street clients. | Directors: Lorene Scafaria | Cast: Constance Wu, Jennifer Lopez, Julia Stiles, Keke Palmer, Lili Reinhart | Genres: Drama, Comedy, Crime | Production Companies: STXfilms, Gloria Sanchez Productions, Nuyorican Productions | Production Countries: US"
635,"Title: The French Dispatch | Release Date: 2021-10-21 | Overview: The staff of an American magazine based in France puts out its last issue, with stories featuring an artist sentenced to life imprisonment, student riots, and a kidnapping resolved by a chef. | Directors: Wes Anderson | Cast: Benicio del Toro, Adrien Brody, Tilda Swinton, Léa Seydoux, Frances McDormand | Genres: Drama, Comedy | Production Companies: Indian Paintbrush, American Empirical Pictures, Studio Babelsberg | Production Countries: US, DE"
636,"Title: The Negotiation | Release Date: 2018-09-19 | Overview: An ace crisis negotiator attempts to figure out the real motivation of a man who has kidnapped two people and crack his calm demeanour. | Directors: Lee Jong-suk | Cast: Son Ye-jin, Hyun Bin, Kim Sang-ho, Jang Young-nam, Jang Kwang | Genres: Crime, Action, Thriller | Production Companies: JK Film, CJ Entertainment | Production Countries: KR"
637,"Title: Cinderella and the Secret Prince | Release Date: 2018-09-30 | Overview: Cinderella discovers a secret that could shake their world: an evil witch turned the prince into a mouse and replaced him with a look-alike. Cinderella and her friends must save the real prince and help him defeat the evil witch. | Directors: Lynne Southerland | Cast: Cassandra Lee Morris, Stephen Mendel, R. Martin Klein, Stephanie Sanditz, Terrence Stone | Genres: Animation, Adventure, Family, Fantasy | Production Companies: Gold Valley Films, Gold Valley Films | Production Countries: CN, US"
638,"Title: High Society | Release Date: 2018-08-29 | Overview: The story of the journey of married couple up the social latter. The husband is professor at Seoul National University who is running for the National Assembly, and his wife is a painter. | Directors: Byun Hyuk | Cast: Park Hae-il, Soo Ae, Yoon Je-moon, Ra Mi-ran, Lee Jin-uk | Genres: Drama | Production Companies: Hive Media Corp | Production Countries: KR"
639,"Title: Dark Figure of Crime | Release Date: 2018-10-03 | Overview: A serial killer is caught for his seventh murder. A cop tries to solve the first six cases with the killer's help, but starts to suspect that he has ulterior motives. Based on a true story. | Directors: Kim Tae-gyoon | Cast: Kim Yun-seok, Ju Ji-hoon, Moon Jeong-hee, Jin Sun-kyu, Jeong Jong-jun | Genres: Crime, Drama | Production Companies: Film 295, Blossom Pictures, Showbox | Production Countries: KR"
640,"Title: Everything Everywhere All at Once | Release Date: 2022-03-24 | Overview: An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes. | Directors: Daniel Scheinert, Daniel Kwan | Cast: Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, James Hong, Jamie Lee Curtis | Genres: Action, Adventure, Science Fiction | Production Companies: IAC Films, AGBO, Ley Line Entertainment, Year of the Rat | Production Countries: US"
641,"Title: Run | Release Date: 2020-11-20 | Overview: Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret. | Directors: Aneesh Chaganty | Cast: Sarah Paulson, Kiera Allen, Pat Healy, Sara Sohn, Erik Athavale | Genres: Thriller, Horror, Drama | Production Companies: Search Party | Production Countries: US"
642,"Title: Knives Out | Release Date: 2019-11-27 | Overview: When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death. | Directors: Rian Johnson | Cast: Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon | Genres: Comedy, Crime, Mystery | Production Companies: Lionsgate, MRC, T-Street | Production Countries: US"
643,"Title: We Summon the Darkness | Release Date: 2020-08-28 | Overview: Three best friends attending a heavy-metal show cross paths with sadistic killers after they travel to a secluded country home for an after party. | Directors: Marc Meyers | Cast: Alexandra Daddario, Keean Johnson, Logan Miller, Amy Forsyth, Austin Swift | Genres: Horror, Thriller | Production Companies: Common Enemy, The Fyzz, Magna Entertainment, Iconic Media One, Highland Film Group, LB Entertainment, Litecoin Foundation, Nightshade Entertainment | Production Countries: US, GB"
644,"Title: House of Hummingbird | Release Date: 2019-08-28 | Overview: 14-year-old Eun-hee moves through life like a hummingbird searching for a taste of sweetness wherever she may find it. Ignored by her parents and abused by her brother, she finds her escape by roaming the neighborhood with her best friend, going on adventures, and exploring young love. | Directors: Kim Bora | Cast: Park Ji-hu, Kim Sae-byuk, Seol Hye-in, Jeong In-gi, Lee Seung-yeon | Genres: Drama | Production Companies: Contents Panda, Mass Ornament Films, Epiphany Film | Production Countries: KR"
645,"Title: Intimate Strangers | Release Date: 2018-10-31 | Overview: A group of people meet for the first time in a long time and play a game that reveals each other's secrets. | Directors: JQ Lee | Cast: Yoo Hai-jin, Cho Jin-woong, Lee Seo-jin, Yum Jung-ah, Kim Ji-soo | Genres: Drama, Comedy | Production Companies: Lotte Entertainment, SLL, Film Monster, DramaHouse, CJ Entertainment | Production Countries: KR"
646,"Title: Last Christmas | Release Date: 2019-11-07 | Overview: Kate is a young woman who has a habit of making bad decisions, and her last date with disaster occurs after she accepts work as Santa's elf for a department store. However, after she meets Tom there, her life takes a new turn. | Directors: Paul Feig | Cast: Emilia Clarke, Henry Golding, Michelle Yeoh, Emma Thompson, Lydia Leonard | Genres: Comedy, Romance | Production Companies: Universal Pictures, Feigco Entertainment | Production Countries: GB, US"
647,"Title: The Brutalist | Release Date: 2024-12-20 | Overview: When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, wealthy client. | Directors: Brady Corbet | Cast: Adrien Brody, Felicity Jones, Guy Pearce, Joe Alwyn, Raffey Cassidy | Genres: Drama | Production Companies: Brookstreet Pictures, Kaplan Morrison, Intake Films, Andrew Lauren Productions, Lipsync Productions, Richmond Pictures, Meyohas Studio, Carte Blanche, Pierce Capital Entertainment | Production Countries: GB, US"
648,"Title: Ordinary People | Release Date: 2018-11-07 | Overview: A gym teacher and his female student look for her missing friend. But as they investigate, they find that her disappearance is a part of a larger conspiracy. | Directors: Im Jin-soon | Cast: Don Lee, Kim Sae-ron, Jang Kwang, Lee Sang-yeob, Shin Se-hwi | Genres: Action, Crime, Thriller, Mystery | Production Companies: Little Big Pictures, Daydream, CJ Entertainment | Production Countries: KR"
649,"Title: Saint Judy | Release Date: 2019-03-01 | Overview: The true story of immigration attorney Judy Wood and how she singlehandedly changed the U.S. law of asylum to save women's lives. | Directors: Sean Hanish | Cast: Michelle Monaghan, Leem Lubany, Common, Alfred Molina, Alfre Woodard | Genres: Drama | Production Companies: Cannonball Productions | Production Countries: US"
650,"Title: Free Guy | Release Date: 2021-08-11 | Overview: A bank teller discovers he is actually a background player in an open-world video game, and decides to become the hero of his own story. Now, in a world where there are no limits, he is determined to be the guy who saves his world his way before it's too late. | Directors: Shawn Levy | Cast: Ryan Reynolds, Jodie Comer, Lil Rel Howery, Joe Keery, Utkarsh Ambudkar | Genres: Comedy, Adventure, Science Fiction | Production Companies: Berlanti Productions, 21 Laps Entertainment, Maximum Effort, Lit Entertainment Group, 20th Century Studios | Production Countries: US"
651,"Title: Freaky | Release Date: 2020-11-12 | Overview: A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl. | Directors: Christopher Landon | Cast: Vince Vaughn, Kathryn Newton, Celeste O'Connor, Misha Osherovich, Uriah Shelton | Genres: Horror, Comedy | Production Companies: Universal Pictures, Blumhouse Productions, Divide / Conquer | Production Countries: US"
652,"Title: Dark Waters | Release Date: 2019-11-22 | Overview: A tenacious attorney uncovers a dark secret that connects a growing number of unexplained deaths to one of the world's largest corporations. In the process, he risks everything — his future, his family, and his own life — to expose the truth. | Directors: Todd Haynes | Cast: Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman, Bill Camp | Genres: Drama, Thriller | Production Companies: Participant, Willi Hill, Killer Films | Production Countries: US"
653,"Title: Burn the Stage: The Movie | Release Date: 2018-11-15 | Overview: Burn the Stage: the Movie is the first movie from BTS, going behind-the-scenes of the BTS WINGS TOUR to reveal the full story of the band’s meteoric rise to fame. This unmissable film provides an intimate look at what happens when the most successful global boy band of all time breaks down barriers and invades the mainstream music scene. Exclusive tour footage and brand-new one-on-one interviews with BTS members give fans an unprecedented glimpse into their lives and an opportunity for everyone to celebrate together worldwide. | Directors: Park Jun-soo | Cast: RM, Jin, Suga, j-hope, Jimin | Genres: Music, Documentary | Production Companies: Big Hit Entertainment, The Walt Disney Company Korea, Camp Entertainment | Production Countries: KR"
654,"Title: Honest Thief | Release Date: 2020-09-03 | Overview: A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name. | Directors: Mark Williams | Cast: Liam Neeson, Kate Walsh, Jai Courtney, Jeffrey Donovan, Anthony Ramos | Genres: Thriller, Action, Crime | Production Companies: The Solution, Dreadnought Films, Zero Gravity Management, Argonaut Entertainment Partners, Honest Thief Productions, Ingenious Media, J Cubed Film Finance, Samuel Marshall Productions, Sprockefeller Pictures, Open Road Films | Production Countries: GB, US"
655,"Title: Default | Release Date: 2018-11-28 | Overview: Only one week left until South Korea will go under sovereign default. Han Shi-hyun is a leader of the monetary policy team at the Bank of Korea. and is assigned to a crisis team. | Directors: Choi Kook-hee | Cast: Kim Hye-soo, Yoo Ah-in, Huh Joon-ho, Jo Woo-jin, Vincent Cassel | Genres: Drama, History | Production Companies: Zip Cinema, CJ Entertainment | Production Countries: KR"
656,"Title: Swing Kids | Release Date: 2018-12-14 | Overview: Rebellious Ki-soo from North Korea is mesmerized by tap dance in prison camps. Ki-soo joins as a team member of a dance team named 'Swing Kids'. Yet suddenly, their dreams about dancing in prison camps are put in danger. | Directors: Kang Hyoung-chul | Cast: Doh Kyung-soo, Jared Grimes, Park Hye-su, Oh Jung-se, Kim Min-ho | Genres: Drama, War | Production Companies: Annapurna Films, Next Entertainment World | Production Countries: KR"
657,"Title: Endings, Beginnings | Release Date: 2020-06-24 | Overview: An artist dumps her longtime boyfriend, but her attempt to take a break from dating ends when she quickly finds herself in two passionate romances. | Directors: Drake Doremus | Cast: Shailene Woodley, Jamie Dornan, Sebastian Stan, Matthew Gray Gubler, Lindsay Sloane | Genres: Romance, Drama | Production Companies: CJ Entertainment | Production Countries: KR"
658,"Title: Unstoppable | Release Date: 2018-11-22 | Overview: Dong-chul and Ji-soo are a happily married couple. One day, Dong-chul comes home to find his house in disarray and his wife missing. | Directors: Kim Min-ho | Cast: Don Lee, Song Ji-hyo, Kim Seung-o, Kim Min-jae, Park Ji-hwan | Genres: Crime, Action, Thriller | Production Companies: BA Entertainment, PLUSMedia Entertainment, Showbox | Production Countries: KR"
659,"Title: Brahms: The Boy II | Release Date: 2020-02-20 | Overview: After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms. | Directors: William Brent Bell | Cast: Katie Holmes, Christopher Convery, Owain Yeoman, Ralph Ineson, Anjali Jay | Genres: Horror, Mystery, Thriller | Production Companies: STXfilms, Lakeshore Entertainment | Production Countries: AU, CA, CN, US"
660,"Title: Svaha: The Sixth Finger | Release Date: 2019-02-20 | Overview: Pastor Park, the head of a religious investigation center that exposes cults and cult leaders, begins looking into a suspicious new religion called Deer Mount. | Directors: Jang Jae-hyun | Cast: Lee Jung-jae, Park Jeong-min, Lee Jae-in, Yoo Ji-tae, Jung Jin-young | Genres: Horror, Mystery, Thriller, Crime | Production Companies: Filmmaker R&K, CJ Entertainment, filmK | Production Countries: KR"
661,"Title: Emma. | Release Date: 2020-02-13 | Overview: In 1800s England, a well-meaning but selfish young woman meddles in the love lives of her friends. | Directors: Autumn de Wilde | Cast: Anya Taylor-Joy, Johnny Flynn, Josh O'Connor, Callum Turner, Mia Goth | Genres: Comedy, Romance | Production Companies: Working Title Films, Blueprint Pictures, Perfect World Pictures, Focus Features | Production Countries: GB"
662,"Title: Three Thousand Years of Longing | Release Date: 2022-08-24 | Overview: A solitary scholar discovers an ancient bottle while on a trip to Istanbul and unleashes a djinn who offers her three wishes. Filled with reluctance, she is unable to come up with one, so the djinn tries to inspire her with his stories. | Directors: George Miller | Cast: Tilda Swinton, Idris Elba, Erdil Yaşaroğlu, Sabrina Elba, Sarah Houbolt | Genres: Drama, Fantasy, Romance | Production Companies: FilmNation Entertainment, Elevate Production Finance, Sunac Pictures, Kennedy Miller Mitchell | Production Countries: AU, CN, GB"
663,"Title: Take Point | Release Date: 2018-12-26 | Overview: On the day of the U.S. presidential election in 2024, a team of elite mercenaries embark on a secret CIA mission to abduct North Korea's politician in an underground bunker below the Korean Demilitarized Zone. However, they get caught in the crossfire which causes tensions to escalate to the brink of World War III. | Directors: Kim Byung-woo | Cast: Ha Jung-woo, Lee Sun-kyun, Jennifer Ehle, Kevin Durand, Kang Shin-chul | Genres: Action, Thriller | Production Companies: CJ Entertainment, Perfect Storm Film | Production Countries: KR"
